カテゴリ,略称,タイトル,学会,著者所属,Paper URL,Website URL,タスク,Domain,ロボット,Training,Evaluation,Modality,Dataset,Backbone,Action Generation,概要
End-to-End,,VLA Model-Expert Collaboration for Bi-directional Manipulation Learning,,China,https://arxiv.org/abs/2503.04163,https://aoqunjin.github.io/Expert-VLA/,Manipulation,Tabletop,Simulation,Supervised,MetaWorld,"Language, Vision",MetaWorld,,,"専門家が各段階ごとにVLAモデルがN段階を担当する交代制御と、そのデータでVLAを再学習する双方向協力フレームワークを提案し、MetaWorldおよびBCI実験において成功率の向上と専門家の負担軽減を実証しました。
手法：VLA-Expert N:1協業（推奨N=4）→協業データバッファリング→監督学習に基づく微調整→反復によりモデルと専門家双方の性能向上。"
End-to-End,MoManipVLA,MoManipVLA: Transferring Vision-language-action Models for General Mobile Manipulation,,"Nanyang Technological University, Tsinghua University",https://arxiv.org/abs/2503.13446,,"Manipulation, Move Base","Indoor, Tabletop","Hello Stretch, RM65, Simulation",Supervised,OVMM,"Depth, Language, Proprioception, Vision",OVMM,OpenVLA,Optimization,"VLAが予測したエンドエフェクタのウェイポイントを、ベースとアームの二重最適化（到達性・滑らかさ・衝突回避）により実行するMoManipVLAを提案し、OVMM/実環境においてSOTA比で成功率4.2％ポイント向上を実現しました。
50件の実演のみでゼロショットレベルのモバイル操作汎用性を達成し、モバイルマニピュレーションの汎用性を大幅に向上させました。"
End-to-End,RoboFlamingo-Plus,RoboFlamingo-Plus: Fusion of Depth and RGB Perception with Vision-Language Models for Enhanced Robotic Manipulation,,,https://arxiv.org/abs/2503.19510,https://roboflamingo.github.io/,Manipulation,Tabletop,Franka Emika Panda,Supervised,CALVIN,"Depth, Language, Proprioception, Vision",CALVIN,"OpenFlamingo, ViT","Autoregressive, Continuous","RoboFlamingo-Plusは、ViT-Perceiver Resamplerを使用してRGB-Depthを融合し、言語条件交差アテンション・LSTMポリシーヘッドでロボットの行動を予測することで、CALVINベンチマークにおいて**成功率を10～20％**改善しました。
深度正規化・Resamplerの微調整により、未知の環境や変形した言語指示においても堅牢な性能を発揮します。"
End-to-End,PD-VLA,Accelerating Vision-Language-Action Model Integrated with Action Chunking via Parallel Decoding,,"HKUST, Zhejiang University",https://arxiv.org/abs/2503.02310,,Manipulation,Tabletop,"Simulation, Unitree Z1-Pro",Supervised,CALVIN,"Language, Vision",CALVIN,"CLIP, LLaVA, Vicuna","Discrete Token, Parallel Decoding","ジャコビ固定点並列デコードにより、行動チャンキングVLAのARボトルネックを解消し、学習なしで制御周波数2.5倍・成功率向上を実現。
PD-VLA：モデル修正なし・訓練なしにより、シミュレーションと実環境の両方で速度と性能の同時改善を達成。"
"End-to-End, Hierarchical",Hi Robot,Hi Robot: Open-Ended Instruction Following with Hierarchical Vision-Language-Action Models,,Physical Intelligence,https://arxiv.org/abs/2502.19417,https://www.pi.website/research/hirobot,"Bi-manual, Manipulation, Move Base","Kitchen, Tabletop","ALOHA, AgileX, UR5",Supervised,,"Language, Proprioception, Vision",,PaliGemma,Flow Matching,階層型VLM→VLA構造と合成相互作用データを用いて、高次指示・リアルタイムフィードバックをロボット行動に変換する「Hi Robot」を提案する。3種類のロボット×長距離作業において、GPT-4o・Flat VLAよりも指示の一致率・課題の成功率を大幅に改善した。
VLM for Robotics,Unified-IO 2,"Unified-IO 2: Scaling Autoregressive Multimodal Models with Vision, Language, Audio, and Action",CVPR,"Allen Institute for AI, University of Illinois Urbana-Champaign, University of Washington",https://arxiv.org/abs/2312.17172,https://unified-io-2.allenai.org/,"Manipulation, Navigation",Indoor,Simulation,Supervised,"Habitat, VIMA-Bench","Audio, Depth, Language, Vision",,ViT,,"各モダリティ（テキスト・画像・音声・アクション）をすべてトークン化して単一のエンコーダー・デコーダー・トランスフォーマーで処理し、2D RoPE・QK正規化・スケーラード・コサイン・アテンション・マルチモーダル・ミクスチャー・オブ・デノイザーズ・ダイナミック・パッキングなど、安定化手法を導入。
7 B Unified-IO 2は画像・音声・行動の生成までサポートし、GRIT SOTAを含む35のベンチマークで汎用マルチモーダル能力を実証しました。"
"End-to-End, Hierarchical",HAMSTER,HAMSTER: Hierarchical Action Models For Open-World Robot Manipulation,ICLR,"NVIDIA, University of Southern California, University of Washington",https://arxiv.org/abs/2502.05485,https://hamster-robot.github.io/,Manipulation,Tabletop,"Franka Emika Panda, Simulation",Supervised,Colosseum,"Depth, Language, PointCloud, Proprioception, Vision","BridgeV2, DROID, LLaVA Instruction, RLBench, RoboPoint",VILA,"Autoregressive, Continuous","① 上位層のVILA-13Bが2次元経路を、下位層のRVT-2/3D-DAが3次元動作を実行する階層型VLA「HAMSTER」を提案し、オフドメインの映像・シミュレーション・既存のロボットデータで学習。
② 実ロボットの7軸一般化において、OpenVLAと比較して+20 %-p（50 %向上）・デモの½でも2倍の性能を達成し、Colosseumシミュレーションでは+31 %を達成しました。"
"Audio, End-to-End, Tactile",FuSe,Beyond Sight: Finetuning Generalist Robot Policies with Heterogeneous Sensors via Language Grounding,ICRA,UC Berkeley,https://arxiv.org/abs/2501.04693,https://fuse-model.github.io/,Manipulation,Tabletop,WidowX,"Self-Supervised, Supervised",,"Audio, Language, Proprioception, Tactile, Vision",,"Octo, PaliGemma","Autoregressive, Continuous","自然言語の対照と生成損失を組み合わせ、視覚ベースの汎用ポリシーを触覚・音響を含むマルチセンサーでファインチューニング（FuSe）→ 27,000件の実ロボットデータで成功率20%向上、マルチセンサー・合成プロンプトをゼロショット実行。"
End-to-End,OTTER,OTTER: A Vision-Language-Action Model with Text-Aware Visual Feature Extraction,ICML,"Meta, UC Berkeley",https://arxiv.org/abs/2503.03734,https://ottervla.github.io/,Manipulation,Tabletop,Franka Emika Panda,Supervised,LIBERO,"Language, Proprioception, Vision",LIBERO,"CLIP, Transformer","Autoregressive, Continuous","手法: CLIPを凍結後、言語データからパッチ類似度に基づく「テキスト認識視覚トークン」のみを抽出し、Transformerモデルに入力。
2行要約: 凍結VLMとテキスト認識視覚特徴を組み合わせることで、ロボット動作予測の精度向上を実現。実ロボットとシミュレーションのゼロショット環境において、従来のVLAと比較して最大約70%の成功率向上を達成。"
"End-to-End, RL, Training",iRe-VLA,Improving Vision-Language-Action Model with Online Reinforcement Learning,,"Tsinghua University, UC Berkeley",https://arxiv.org/abs/2501.16664,,Manipulation,Tabletop,"Franka Emika Panda, Simulation","LoRA, RL, Supervised","FrankaKitchen, MetaWorld","Language, Vision","FrankaKitchen, MetaWorld",BLIP-2,Continuous,iRe-VLAは、BLIP-2ベースのVLAにLoRAを適用し、オンラインRL（アクション・ヘッドマン学習）と成功軌跡の教師付き学習を交互に実行する2段階反復法により、学習の不安定性を解消します。この手法は、MetaWorld・FrankaKitchen・実際のPanda実験において、従来のSFT・PPOと比較して最大+40%の成功率向上と未実施タスクの一般化性能向上を実現しました。
"Hierarchical, Planning",Bi-VLA,Bi-VLA: Vision-Language-Action Model-Based System for Bimanual Robotic Dexterous Manipulations,,Russia,https://arxiv.org/abs/2405.06039,,Manipulation,,UR3,,,,,,,"RAG+Starling-LM-plannerとQwen-VLの検出結果をAPIマッピングし、2台のUR3アームがサラダ調理動作（盛り付け・切り分け・混ぜ合わせなど）を自動実行するVi-Lang-Act統合フレームワーク。
言語100％、視覚96％、全体83％の精度で複数のサラダタスクを実行し、視覚検出の誤差が主な限界である。"
End-to-End,GraspVLA,GraspVLA: a Grasping Foundation Model Pre-trained on Billion-scale Synthetic Action Data,,"Peking University, The University of Hong Kong",https://arxiv.org/abs/2505.03233,https://pku-epic.github.io/GraspVLA-web/,"Grasp, Manipulation",Tabletop,Franka Emika Panda,Supervised,LIBERO,"Language, Proprioception, Vision",SynGrasp-1B,"DINOv2, InternLM2, SigLIP",Flow Matching,合成グリップデータSynGrasp-1B（10億フレーム）とウェブグラウンドデータを用いて、**PAGチェーン・オブ・ソート（bbox → グリップポーズ → フローマッチングアクション）**で学習したGraspVLAは、**実物ゼロショットオープンボキャブラリグリップ90%+**とバウンディングボックスのみによるフューショット適応を実現しました。
"End-to-End, RL",ConRFT,ConRFT: A Reinforced Fine-tuning Method for VLA Models via Consistency Policy,RSS,China,https://arxiv.org/abs/2502.05450,https://cccedric.github.io/conrft/,Manipulation,Tabletop,Franka Emika Panda,RL,,"Language, Proprioception, Vision",,"Kosmos-2, PaliGemma",Diffusion,ConRFTは、BC + Cal-QLベースのオフライン初期化とヒューマン・インターベンション一貫性RLを組み合わせることで、少ないデモデータのみでVLAモデルを安全かつ高効率に強化する手法です。8つの実際のタスクにおいて96.3%の成功率（従来比+144%）を達成し、RLベースのファインチューニングの実用性を実証しました。
"End-to-End, Training",,"Knowledge Insulating Vision-Language-Action Models: Train Fast, Run Fast, Generalize Better",,Physical Intelligence,https://arxiv.org/abs/2505.23705,https://www.pi.website/research/knowledge_insulation,"Bi-manual, Manipulation, Move Base",Tabletop,"ALOHA, AgileX, Fibocom, Franka Emika Panda, Simulation, UR5",Supervised,"DROID, LIBERO","Language, Proprioception, Vision","DROID, LIBERO",PaliGemma,"Autoregressive, Discrete Token, Flow Matching","継続的にFAST離散トークンとフローマッチング連続エキスパートを同時に学習するが、エキスパート→バックボーン経路を遮断してVLMの知識を保持するKnowledge Insulation VLAを提案する。
その結果、学習と推論の両方が高速化され、従来のVLAに比べて汎化性能、言語追従性、成功率が大幅に向上する。"
"End-to-End, Humanoid",AgiBot World Colosseo,AgiBot World Colosseo: A Large-scale Manipulation Platform for Scalable and Intelligent Embodied Systems,IROS,Team AgiBot-World,https://arxiv.org/abs/2503.06669,https://opendrivelab.com/AgiBot-World/,"Bi-manual, Dexterous Hand, Manipulation","Industrial, Kitchen, Tabletop",AgiBot G1,"Self-Supervised, Supervised",,"Language, Proprioception, Vision",AgiBot World,"InternVL2.5, VQ-VAE",Diffusion,"現実世界における100万件以上のトラジェクトリーを収録したAgiBot Worldと、ラテンアクションベースの手法GO-1（ViLLAフレームワーク）を用いて、多領域の二腕・触覚操作を単一のポリシーで学習。
ラテンプランナーとディフュージョンアクションエキスパートを組み合わせることで、RDT-1Bと比較して平均32％の性能向上を実現し、データスケーリング法則と品質の重要性を実証。"
"3D, End-to-End, Hierarchical",SAM2Act,SAM2Act: Integrating Visual Foundation Model with A Memory Architecture for Robotic Manipulation,ICML,"Allen Institute for AI, NVIDIA, University of Washington",https://arxiv.org/abs/2501.18564,https://sam2act.github.io/,Manipulation,Tabletop,"Franka Emika Panda, Simulation","LoRA, Supervised","Colosseum, RLBench","Depth, Language, PointCloud, Vision","Colosseum, RLBench","CLIP, SAM2",Heatmap,"SAM2Actは、SAM2を基盤とした多解像度アップサンプリング・マルチビュートランスフォーマーで、高精度かつ汎用的な3D操作を学習し、RLBenchで86.8%、干渉耐性で△4.3%を達成しました。
SAM2Act+はメモリバンクとアテンションを追加し、MemoryBenchの空間記憶タスクで94.3％の成功率を達成し、実ロボットでもSOTAを更新しました。"
"3D, Hierarchical, Planning",LMM-3DP,Integrating LMM Planners and 3D Skill Policies for Generalizable Manipulation,,UC San Diego,https://arxiv.org/abs/2501.18733,https://lmm-3dp-release.github.io/,Manipulation,Kitchen,Franka Emika Panda,Supervised,,"Language, PointCloud, Proprioception, Vision",,"CLIP, GPT, PointNext",Keyframe,"LMM-3DPは、GPT-4Vを基盤とした視覚ループ計画＋Critic/MemoryとDINO-PointNext-3D Transformer言語条件3Dポリシー（手法）・スキルライブラリを統合し、厨房の長距離作業の成功率を1.5倍以上向上させました。
視覚フィードバック・自己批判・few-shot 3Dスキル学習により、動的干渉・失敗の再試行・新技術習得までを自律的に処理します。"
"End-to-End, Open-Source",SmolVLA,SmolVLA: A vision-language-action model for affordable and efficient robotics,,Hugging Face,https://arxiv.org/abs/2506.01844,https://huggingface.co/papers/2506.01844,Manipulation,Tabletop,"SO-100, Simulation",Supervised,"LIBERO, MetaWorld","Language, Proprioception, Vision","LIBERO, MetaWorld","SigLIP, SmolLM2",Flow Matching,小型VLM + Flow-Matching Expertにレイヤースキップ・トークン削減・クロスCA/SA・非同期推論手法を適用し、GPU 1枚で学習・CPU実行が可能。コミュニティデータ<30kエピソードで事前学習し、LIBERO・Meta-World・シロボットで大規模VLA並みの性能を達成。
End-to-End,GRAPE,GRAPE: Generalizing Robot Policy via Preference Alignment,,University of Washington,https://arxiv.org/abs/2411.19309,https://grape-vla.github.io/,Manipulation,Tabletop,"Franka Emika Panda, Simulation","RL, Supervised","LIBERO, SIMPLER","Language, Vision",,"DINOv2, GPT, OpenVLA, SAM","Autoregressive, Discrete Token",GRAPEは、段階別のキーポイントコストとTPOの好みを基に学習し、失敗まで含めて学習することで、VLAポリシーを目標指向的に一般化します。その結果、ドメイン内51.8％、OOD58.2％の成功率向上・衝突37.4％減少を達成しました。
End-to-End,TRA,Temporal Representation Alignment: Successor Features Enable Emergent Compositionality in Robot Instruction Following,,"Cornell University, UC Berkeley",https://arxiv.org/abs/2502.05454,https://tra-paper.github.io/,Manipulation,Tabletop,"Simulation, WidowX","Self-Supervised, Supervised",OGBench,"Language, Vision","BridgeV2, OGBench",,Continuous,TRAは、現在の状態・将来の目標・言語をInfoNCEで時間同期させ、同一の表現空間に統合し、単純なBCのみでも段階的な計画なしに複合タスクを合成します。実ロボット13タスクとOGBench7環境において、GCBC・AWRと比較して最大40％以上の性能向上を示し、整列損失のみでも構成的汎化が可能であることを証明しています。
End-to-End,RoboBERT,RoboBERT: An End-to-end Multimodal Robotic Manipulation Model,,,https://arxiv.org/abs/2502.07837,https://anonymeskonto.github.io/Web/,Manipulation,Tabletop,"RM65, Simulation",Supervised,CALVIN,"Language, Vision",CALVIN,"BERT, CLIP",Diffusion,"RoboBERTは、BERT（言語）とCLIP（ビジョン）を融合させた後、CNN拡散ポリシーを2段階学習（1段階目：ポリシー、2段階目：自然言語）し、頑強な拡張を適用することで、CALVINとシロボットの両方でSOTAを達成した208MパラメーターのエンドツーエンドVLAモデルです。
2段階戦略は、少ないロボットデータでも言語の多様性を吸収しつつ、ポリシー性能の低下なしに高い成功率を保証します。"
End-to-End,Dita,Dita: Scaling Diffusion Transformer for Generalist Vision-Language-Action Policy,,"Peking University, Tsinghua University, Zhejiang University",https://arxiv.org/abs/2410.15959v4,https://robodita.github.io/,Manipulation,Tabletop,"Franka Emika Panda, Simulation",Supervised,"CALVIN, LIBERO, Maniskill2, SIMPLER","Language, Vision",Open-X-Embodiment,"CLIP, DINOv2, Transformer",Diffusion,Diffusion Transformer Policyは、言語・視覚トークンとノイズが混ざった7次元アクションチャンクを単一の大型Transformerで確率拡散デノイジングし、連続制御を学習します。大規模なX-Embodiment事前学習後、CALVIN、SimplerEnv、LIBERO、Maniskill2、実際のFranka Armにおいて、Octo・OpenVLAを超える汎化性能を達成しました。
"3D, Hierarchical, Planning",SoFar,SoFar: Language-Grounded Orientation Bridges Spatial Reasoning and Object Manipulation,,"Peking University, Shanghai Jiao Tong University, Tsinghua University",https://arxiv.org/abs/2502.13143,https://qizekun.github.io/sofar/,Manipulation,Tabletop,"Franka Emika Panda, Simulation",Supervised,"Open6DOR, SIMPLER, SpatialBench","Depth, Language, PointCloud, Vision","Open6DOR, OrienText300K, SpatialBench","CLIP, Florence-2, GPT, PointNet, SAM",Primitive,"Semantic Orientationと35万サンプルのOrienText300Kで学習した3D言語トランスフォーマーPointSOをSAM・Florence-2・VLMと組み合わせたSOFARは、物体の位置と方向を同時に理解し、6自由度ロボットの計画・操作までゼロショットで実行します。
シミュレーション（Open6DOR V2で48.7%向上）・SIMPLER・現実世界での60のタスクにおいてRT・VLAモデルを凌駕し、方向VQA・指向ナビゲーションなどへの適用範囲を拡大します。"
"3D, End-to-End, Prediction",ARM4R,Pre-training Auto-regressive Robotic Models with 4D Representations,ICML,"BAIR, UC Berkeley",https://arxiv.org/abs/2502.13142,https://arm4r.github.io/,Manipulation,Tabletop,"Franka Emika Panda, Kinova Gen3, Simulation",Supervised,RLBench,"Language, PointCloud, Proprioception, Vision",EPIC-Kitchens,"CLIP, ViT","Autoregressive, Continuous","人間映像から3Dポイントトラックを予測するようにオートリグレッシブ・トランスフォーマーを事前学習し、これをロボットの状態予測に置き換え・微調整して、低次元4D表現をロボット制御に転移する。
4D事前学習のみにより、RLBench・実験ロボットにおいて、従来の2D/VLA・3Dボクスル方式よりも高い成功率を達成。"
Hierarchical,Atomic Skill,An Atomic Skill Library Construction Method for Data-Efficient Embodied Manipulation,,China,https://arxiv.org/abs/2501.15068,,"Bi-manual, Manipulation",Tabletop,ALOHA,,,"Language, Vision",,"GPT, Octo, RDT1B, SAM2",,"3-Wheel フレームワーク（VLP 分解 → 原子スキル定義 → VLA 少例学習チューニング）により、スキルライブラリを自己拡張し、データ要件を大幅に削減しつつ、エンドツーエンドよりも高い成功率と汎用性を実現。
つまり、「作業を分割し、スキルを微調整して累積・再利用する」手法により、データ爆発なしに現実世界のロボット操作を拡張できる。"
Hierarchical,VLAS,VLAS: Vision-Language-Action Model With Speech Instructions For Customized Robot Manipulation,ICLR,Zhejiang University,https://arxiv.org/abs/2502.13508,,Manipulation,Tabletop,"Simulation, UR5",Supervised,CALVIN,"Audio, Language, Vision",,"CLIP, Vicuna, Whisper","Autoregressive, Discrete Token","音声入力を含むエンドツーエンドのVLAモデル（VLAS）は、Whisper-CLIP-Vicunaを組み合わせ、Voice RAGで個人知識を注入し、音声・動画・テキストから行動トークンを直接生成します。
SQA・CSIデータと3段階（音声-テキスト照合→音声QA→行動BC）の学習により、CALVIN・カスタムタスクにおいて既存のVLA+ASRと比較して高い成功率を達成します。"
"Affordance, Prediction, VLM for Robotics",RoboBrain,RoboBrain: A Unified Brain Model for Robotic Manipulation from Abstract to Concrete,CVPR,"Peking University, The University of Hong Kong",https://arxiv.org/abs/2502.21257,https://superrobobrain.github.io/,Manipulation,"Kitchen, Tabletop",Simulation,"LoRA, Supervised","AGD20K, OpenEQA, RoboVQA, ShareRobot QA","Language, Vision","Open-X-Embodiment, ShareRobot","Qwen2.5-VL, SigLIP","Autoregressive, Discrete Token",ShareRobot(102万QA-アフォーダンス-軌跡)で学習したLLaVAベースのRoboBrainは、Planning-A-LoRA-T-LoRAモジュールにより、長い作業計画、アフォーダンス、軌跡を一度に生成する。この統合手法により、RoboVQA-OpenEQAなどでGPT-4Vや最新のオープンソースモデルを上回るSOTA性能を達成しました。
End-to-End,iManip,iManip: Skill-Incremental Learning for Robotic Manipulation,,China,https://arxiv.org/abs/2503.07087,,Manipulation,Tabletop,"Franka Emika Panda, Simulation","Distillation, Supervised",RLBench,"Depth, Language, PointCloud, Proprioception, Vision",RLBench,CLIP,Continuous,iManipは、**タイムバランスサンプリング(TRS)と可変PerceiverIO(E-PIO)**を組み合わせて、ロボットがスキルを順次増やしても忘却することなく素早く適応できるようにしたSILフレームワークです。RLBench-実世界評価で、従来のリハーサル・知識蒸留法よりも平均成功率が9%以上向上し、軽量・拡張性を実証しました。により、新しい課題・新しい機構まで素早く適応・性能向上する。
"End-to-End, Prediction, RL",LUMOS,LUMOS: Language-Conditioned Imitation Learning with World Models,,"University of Freiburg, University of Oxford, University of Technology Nuremberg",https://arxiv.org/abs/2503.10370,http://lumos.cs.uni-freiburg.de/,Manipulation,Tabletop,"Franka Emika Panda, Simulation","RL, Self-Supervised",CALVIN,"Language, Proprioception, Vision",CALVIN,"Dreamer, Sentence-BERT",Continuous,世界モデルの潜在空間からLatent Plan CVAE + actor-critic + DITTO intrinsic rewardで言語条件の長期操作をオフライン学習し、実ロボットにゼロショット転移する。CALVINと実際の14タスクで従来のHULC-GCBCなどを上回り、covariate shiftを緩和する。
End-to-End,PPL,"Think Small, Act Big: Primitive Prompt Learning for Lifelong Robot Manipulation",CVPR,"Shanghai Artificial Intelligence Laboratory, Shanghai Jiao Tong University, Zhejiang University",https://arxiv.org/abs/2504.00420,,Manipulation,Tabletop,"Franka Emika Panda, Simulation",Supervised,"LIBERO, MimicGen","Language, Proprioception, Vision","LIBERO, MimicGen","CLIP, RAFT",Diffusion,"Primitive Prompt Learning： モーション+テキストクエリでプリミティブプロンプトを学習し、新しいスキルにはlifelongプロンプトだけを追加して、経験リプレイがなくてもFWT/BWT SOTA。
コア手法 = Motion-Aware Prompting (Optical Flow + CLIP) + Diffusion-Transformer prefix-prompt insertでパラメータ効率的なライフロン遷移。"
"End-to-End, Hierarchical",SPECI,SPECI: Skill Prompts based Hierarchical Continual Imitation Learning for Robot Manipulation,,China,https://arxiv.org/abs/2504.15561,,Manipulation,,Simulation,Supervised,LIBERO,"Language, Proprioception, Vision",LIBERO,CLIP,Continuous,SPECIは**「動的スキルコードブック+ Mode Approximation」**でマルチモーダル認知・スキル・行動をend-to-end階層化し、CILで転移・忘却を同時に解決する。実験結果、4つのLIBEROスイート全体でFWT↑-NBT↓-AUC↑で、従来のBUDS-LOTUSなどを大きく上回った。
End-to-End,PPI,Gripper Keypose and Object Pointflow as Interfaces for Bimanual Robotic Manipulation,RSS,"Peking University, Shanghai Artificial Intelligence Laboratory, Zhejiang University",https://arxiv.org/abs/2504.17784,https://yuyinyang3y.github.io/PPI/,"Bi-manual, Manipulation",Tabletop,"Franka Emika Panda, Simulation",Supervised,RLBench2,"Depth, Language, PointCloud, Proprioception, Vision",RLBench2,"CLIP, DINOv2, PointNet++",Diffusion,PPIは、キーフレームGripper Keyposeと3D Object Pointflowを条件として、連続動作を確率的拡散・変換器で生成するエンドツーエンドの両腕操作方針である。RLBench2 80.8%・実世界4課題SR 62.5%で、従来のキーフレーム・連続制御法を上回るSOTA性能を達成した。
"Hierarchical, Prediction, VLM for Robotics",RoboGround,RoboGround: Robotic Manipulation with Grounded Vision-Language Priors,CVPR,"Shanghai Artificial Intelligence Laboratory, Zhejiang University",https://arxiv.org/abs/2504.21530,https://robo-ground.github.io/,Manipulation,Tabletop,Simulation,Supervised,RoboCasa,"Language, Proprioception, Vision",RoboCasa,"CLIP, GLaMM, GR-1","Autoregressive, Continuous",Grounded VLMが予測したターゲット/配置マスクをTransformerポリシーに注入し、自動生成した大規模な複合シミュレーションデータ(24 k/112 k)で学習し、複雑・画像環境で従来のGR-1に比べて2倍以上の成功率を達成したマスクベースのロボット操作手法。
Prediction,GR-MG,GR-MG: Leveraging Partially Annotated Data via Multi-Modal Goal-Conditioned Policy,RAL,"ByteDance Research, China",https://arxiv.org/abs/2408.14368,https://gr-mg.github.io/,Manipulation,Tabletop,"Kinova Gen3, Simulation","Self-Supervised, Supervised",CALVIN,"Language, Proprioception, Vision","CALVIN, Ego4D, RT-1, Something-Something",T5,"Autoregressive, Continuous",部分注釈(言語のみ・行動のみ)データを併用する「進行度・ガイド目標画像+言語」マルチモーダルポリシーGR-MGを提案、拡散ベースの目標生成器とGPT-styleポリシーで学習。 シミュ‧実ロボットベンチマークで5-連続成功率23pt↑および58課題78％成功達成、few-shot新規スキルも従来比15pt↑。
End-to-End,pi0-TLI,Task Reconstruction and Extrapolation for π_0 using Text Latent,,,https://arxiv.org/abs/2505.03500,,Manipulation,Tabletop,Simulation,,LIBERO,"Language, Proprioception, Vision",LIBERO,Pi0,Flow Matching,"VLA(π₀)から各タスクのテキストlatent(トークンヒドゥンステート平均)を抽出し、extrapolated taskに対して2つのlatentを**時間的に補間(TLI)**してヒドゥンステートに追加することで、既存のタスクのプリミティブを組み合わせて微小なextrapolated taskも高い成功率(83%)で解決。
既存のVLAは、オブジェクトの意味理解の代わりに位置に過度にオーバーフィッティングする傾向があり、latent操作はプライベートインストラクション/バックドア攻撃にも活用される可能性がある。"
End-to-End,Real Time Chunking,Real-Time Action Chunking with Large Models,,"Physical Intelligence, UC Berkeley",https://arxiv.org/abs/2506.07339,https://www.pi.website/research/real_time_chunking,"Bi-manual, Manipulation",Tabletop,ALOHA,Supervised,Kinetix,"Proprioception, Vision",,Pi0.5,Flow Matching,**リアルタイムチャンキング(RTC)**は、diffusion/flowベースのVLAポリシーにinference段階で適用する非同期チャンキングおよびinpainting手法で、遅延のある環境でもスムーズで高速なロボット制御を実現します。すでに実行されたアクションを「固定」し、残りはソフトマスキングベースのインペインティングで生成することで、再学習なしで連続的な動作と高い成功率を実現します。
"End-to-End, Hierarchical, Open-Source",OpenHelix,"OpenHelix: A Short Survey, Empirical Analysis, and Open-Source Dual-System VLA Model for Robotic Manipulation",,"HKUST, Zhejiang University",https://arxiv.org/abs/2505.03912,https://openhelix-robot.github.io/,Manipulation,Tabletop,Simulation,Supervised,CALVIN,"Depth, Language, Proprioception, Vision",,LLaVA,Diffusion,"デュアルシステムVLA構造の主要な設計要素と既存の方法を分析し、プロンプトチューニングと補助タスクを適用した軽量オープンソースのデュアルシステムVLA(OpenHelix)を提案し、実験的に動的/言語一般化環境で優れた性能を示しました。
手法：大型MLLMはプロンプトチューニング+補助タスクで、ポリシーは事前学習されたディフュージョンベースポリシーをファインチューニングし、2つのシステムの接続はMLPプロジェクターの事前整列を行う。"
End-to-End,CrayonRobo,CrayonRobo: Object-Centric Prompt-Driven Vision-Language-Action Model for Robotic Manipulation,CVPR,Peking University,https://arxiv.org/abs/2505.02166,,Manipulation,Tabletop,"Franka Emika Panda, Simulation","LoRA, Supervised",SAPIEN,"Depth, Language, Vision",PartNet-Mobility,"CLIP, LLaMA",Discrete Token,2Dビジュアルプロンプトで各キーフレームの目標（接触点、方向など）を明確に入力し、ビジョン・言語・行動モデルが3D操作を予測する方式。実/シミュレーションともに、従来方式よりも複雑・長期・未知のタスクにも堅牢な性能を示す。
"End-to-End, Hierarchical",HiRT,HiRT: Enhancing Robotic Control with Hierarchical Robot Transformers,CoRL,"Tsinghua University, UC Berkeley",https://arxiv.org/abs/2410.05273,,Manipulation,Tabletop,"Franka Emika Panda, Simulation","LoRA, Supervised","FrankaKitchen, MetaWorld","Language, Vision","FrankaKitchen, MetaWorld","InstructBLIP, LLaMA",Continuous,"HiRTは、遅いVLMで長期的な情報を抽出し、軽量政策がリアルタイム制御を行う階層的政策を提案し、従来のVLAモデルの遅い速度を克服し、動的タスク性能(成功率/速度)を大幅に向上させた。
手法：非同期階層政策、VLMベースのlatent-conditioning、リアルタイム軽量政策。"
"End-to-End, Hierarchical",UniVLA,UniVLA: Learning to Act Anywhere with Task-centric Latent Actions,RSS,The University of Hong Kong,https://arxiv.org/abs/2505.06111,https://github.com/OpenDriveLab/UniVLA,"Manipulation, Navigation",Tabletop,"AgileX, Franka Emika Panda, Simulation, WidowX","Self-Supervised, Supervised","CALVIN, Habitat, LIBERO, SIMPLER","Language, Vision","BridgeV2, Ego4D, GNM, Open-X-Embodiment","DINOv2, LLaMA2, SigLIP, T5","Autoregressive, Discrete Token",タスク中心のlatent actionを非教師付き学習し、様々なロボット/人映像からアクションラベルなしで汎用VLAポリシーを学習するUniVLAを提案、小型デコーダで各実施形態に効率的に適用可能。OpenVLAに比べてはるかに少ないデータ/演算でSOTA性能を達成。
"Cross-embodiment, Hierarchical, Prediction",LangToMo,Pixel Motion as Universal Representation for Robot Control,,Stony Brook University,https://arxiv.org/abs/2505.07817,https://kahnchana.github.io/LangToMo/,"Manipulation, Navigation","Indoor, Tabletop","Simulation, xArm","Self-Supervised, Supervised","AI2THOR, MetaWorld","Language, Vision","MetaWorld, Open-X-Embodiment","Universal Sentence Encoder, ViT",Diffusion,ピクセルモーション（オプティカルフロー）の予測を、言語ベースのロボット制御の汎用的な中間表現として使用し、ディフュージョンモデルを用いて自己教師付きの大規模なビデオ・キャプション学習を実施。予測されたピクセルモーションをタスクごとのアクションベクトルに変換し、ゼロショットおよび多様なロボット/環境に対して一般化された制御を実現する。
